,trip_id,trip_headsign
852,ASP22GEN-1091-Weekday-00_096200_1..N03R,Van Cortlandt Park-242 St
853,ASP22GEN-1091-Weekday-00_096650_1..S04R,South Ferry
854,ASP22GEN-1091-Weekday-00_096700_1..N03R,Van Cortlandt Park-242 St
855,ASP22GEN-1091-Weekday-00_096900_1..S03R,South Ferry
856,ASP22GEN-1091-Weekday-00_097200_1..N03R,Van Cortlandt Park-242 St
857,ASP22GEN-1091-Weekday-00_097300_1..S03R,South Ferry
858,ASP22GEN-1091-Weekday-00_097700_1..N03R,Van Cortlandt Park-242 St
859,ASP22GEN-1091-Weekday-00_097700_1..S03R,South Ferry
860,ASP22GEN-1091-Weekday-00_098200_1..N03R,Van Cortlandt Park-242 St
861,ASP22GEN-1091-Weekday-00_098250_1..S04R,South Ferry
862,ASP22GEN-1091-Weekday-00_098450_1..S03R,South Ferry
863,ASP22GEN-1091-Weekday-00_098700_1..N03R,Van Cortlandt Park-242 St
864,ASP22GEN-1091-Weekday-00_098900_1..S03R,South Ferry
865,ASP22GEN-1091-Weekday-00_099200_1..N03R,Van Cortlandt Park-242 St
866,ASP22GEN-1091-Weekday-00_099300_1..S03R,South Ferry
867,ASP22GEN-1091-Weekday-00_099700_1..N03R,Van Cortlandt Park-242 St
868,ASP22GEN-1091-Weekday-00_099850_1..S04R,South Ferry
869,ASP22GEN-1091-Weekday-00_100100_1..S03R,South Ferry
870,ASP22GEN-1091-Weekday-00_100200_1..N03R,Van Cortlandt Park-242 St
871,ASP22GEN-1091-Weekday-00_100500_1..S03R,South Ferry
872,ASP22GEN-1091-Weekday-00_100700_1..N03R,Van Cortlandt Park-242 St
873,ASP22GEN-1091-Weekday-00_100850_1..S04R,South Ferry
874,ASP22GEN-1091-Weekday-00_101100_1..S03R,South Ferry
875,ASP22GEN-1091-Weekday-00_101200_1..N03R,Van Cortlandt Park-242 St
876,ASP22GEN-1091-Weekday-00_101500_1..S03R,South Ferry
877,ASP22GEN-1091-Weekday-00_101550_1..S04R,South Ferry
878,ASP22GEN-1091-Weekday-00_101600_1..N03R,Van Cortlandt Park-242 St
879,ASP22GEN-1091-Weekday-00_102000_1..N03R,Van Cortlandt Park-242 St
880,ASP22GEN-1091-Weekday-00_102100_1..S03R,South Ferry
881,ASP22GEN-1091-Weekday-00_102400_1..N03R,Van Cortlandt Park-242 St
882,ASP22GEN-1091-Weekday-00_102600_1..S03R,South Ferry
883,ASP22GEN-1091-Weekday-00_102800_1..N03R,Van Cortlandt Park-242 St
884,ASP22GEN-1091-Weekday-00_103000_1..S03R,South Ferry
885,ASP22GEN-1091-Weekday-00_103200_1..N03R,Van Cortlandt Park-242 St
886,ASP22GEN-1091-Weekday-00_103550_1..S04R,South Ferry
887,ASP22GEN-1091-Weekday-00_103600_1..N03R,Van Cortlandt Park-242 St
888,ASP22GEN-1091-Weekday-00_103700_1..S03R,South Ferry
889,ASP22GEN-1091-Weekday-00_104000_1..N03R,Van Cortlandt Park-242 St
