,trip_id,trip_headsign
538,ASP22GEN-1038-Saturday-00_128750_1..S03R,South Ferry
539,ASP22GEN-1038-Saturday-00_129500_1..N03R,Van Cortlandt Park-242 St
540,ASP22GEN-1038-Saturday-00_129550_1..S03R,South Ferry
541,ASP22GEN-1038-Saturday-00_130300_1..N03R,Van Cortlandt Park-242 St
542,ASP22GEN-1038-Saturday-00_130350_1..S03R,South Ferry
543,ASP22GEN-1038-Saturday-00_131100_1..N03R,Van Cortlandt Park-242 St
544,ASP22GEN-1038-Saturday-00_131150_1..S03R,South Ferry
545,ASP22GEN-1038-Saturday-00_131900_1..N03R,Van Cortlandt Park-242 St
546,ASP22GEN-1038-Saturday-00_131950_1..S03R,South Ferry
547,ASP22GEN-1038-Saturday-00_132700_1..N03R,Van Cortlandt Park-242 St
548,ASP22GEN-1038-Saturday-00_132750_1..S03R,South Ferry
549,ASP22GEN-1038-Saturday-00_133500_1..N03R,Van Cortlandt Park-242 St
550,ASP22GEN-1038-Saturday-00_133550_1..S03R,South Ferry
551,ASP22GEN-1038-Saturday-00_134300_1..N03R,Van Cortlandt Park-242 St
552,ASP22GEN-1038-Saturday-00_134350_1..S03R,South Ferry
553,ASP22GEN-1038-Saturday-00_135100_1..N03R,Van Cortlandt Park-242 St
554,ASP22GEN-1038-Saturday-00_135150_1..S03R,South Ferry
555,ASP22GEN-1038-Saturday-00_135900_1..N03R,Van Cortlandt Park-242 St
556,ASP22GEN-1038-Saturday-00_135950_1..S03R,South Ferry
557,ASP22GEN-1038-Saturday-00_136700_1..N03R,Van Cortlandt Park-242 St
558,ASP22GEN-1038-Saturday-00_136750_1..S03R,South Ferry
559,ASP22GEN-1038-Saturday-00_137500_1..N03R,Van Cortlandt Park-242 St
560,ASP22GEN-1038-Saturday-00_137550_1..S03R,South Ferry
561,ASP22GEN-1038-Saturday-00_138300_1..N03R,Van Cortlandt Park-242 St
562,ASP22GEN-1038-Saturday-00_138350_1..S03R,South Ferry
563,ASP22GEN-1038-Saturday-00_139100_1..N03R,Van Cortlandt Park-242 St
564,ASP22GEN-1038-Saturday-00_139150_1..S03R,South Ferry
565,ASP22GEN-1038-Saturday-00_139900_1..N03R,Van Cortlandt Park-242 St
566,ASP22GEN-1038-Saturday-00_139950_1..S03R,South Ferry
567,ASP22GEN-1038-Saturday-00_140700_1..N03R,Van Cortlandt Park-242 St
568,ASP22GEN-1038-Saturday-00_140750_1..S03R,South Ferry
569,ASP22GEN-1038-Saturday-00_141500_1..N03R,Van Cortlandt Park-242 St
570,ASP22GEN-1038-Saturday-00_141550_1..S03R,South Ferry
571,ASP22GEN-1038-Saturday-00_142300_1..N03R,Van Cortlandt Park-242 St
572,ASP22GEN-1038-Saturday-00_142350_1..S03R,South Ferry
573,ASP22GEN-1038-Saturday-00_143100_1..N03R,Van Cortlandt Park-242 St
574,ASP22GEN-1038-Saturday-00_143250_1..S03R,South Ferry
575,ASP22GEN-1038-Saturday-00_143900_1..N03R,Van Cortlandt Park-242 St
576,ASP22GEN-1038-Saturday-00_144700_1..N03R,Van Cortlandt Park-242 St
577,ASP22GEN-1038-Saturday-00_145500_1..N03R,Van Cortlandt Park-242 St
578,ASP22GEN-1038-Saturday-00_146300_1..N03R,Van Cortlandt Park-242 St
579,ASP22GEN-1038-Saturday-00_147100_1..N03R,Van Cortlandt Park-242 St
580,ASP22GEN-1038-Saturday-00_147900_1..N03R,Van Cortlandt Park-242 St
581,ASP22GEN-1038-Saturday-00_148700_1..N03R,Van Cortlandt Park-242 St
582,ASP22GEN-1038-Saturday-00_149500_1..N03R,Van Cortlandt Park-242 St
583,ASP22GEN-1038-Saturday-00_150300_1..N03R,Van Cortlandt Park-242 St
1046,ASP22GEN-2042-Saturday-00_001900_2..S08R,Flatbush Av-Brooklyn College
1047,ASP22GEN-2042-Saturday-00_003900_2..S08R,Flatbush Av-Brooklyn College
1048,ASP22GEN-2042-Saturday-00_005900_2..S08R,Flatbush Av-Brooklyn College
1049,ASP22GEN-2042-Saturday-00_007900_2..S08R,Flatbush Av-Brooklyn College
1050,ASP22GEN-2042-Saturday-00_009900_2..S08R,Flatbush Av-Brooklyn College
1051,ASP22GEN-2042-Saturday-00_011900_2..S08R,Flatbush Av-Brooklyn College
1052,ASP22GEN-2042-Saturday-00_013350_2..N08R,Wakefield-241 St
1053,ASP22GEN-2042-Saturday-00_013900_2..S08R,Flatbush Av-Brooklyn College
1054,ASP22GEN-2042-Saturday-00_015350_2..N08R,Wakefield-241 St
1055,ASP22GEN-2042-Saturday-00_015900_2..S08R,Flatbush Av-Brooklyn College
1056,ASP22GEN-2042-Saturday-00_017350_2..N08R,Wakefield-241 St
1057,ASP22GEN-2042-Saturday-00_017900_2..S08R,Flatbush Av-Brooklyn College
1058,ASP22GEN-2042-Saturday-00_019350_2..N08R,Wakefield-241 St
1059,ASP22GEN-2042-Saturday-00_019900_2..S08R,Flatbush Av-Brooklyn College
1060,ASP22GEN-2042-Saturday-00_021350_2..N08R,Wakefield-241 St
1061,ASP22GEN-2042-Saturday-00_021900_2..S08R,Flatbush Av-Brooklyn College
1062,ASP22GEN-2042-Saturday-00_023350_2..N08R,Wakefield-241 St
1063,ASP22GEN-2042-Saturday-00_023900_2..S08R,Flatbush Av-Brooklyn College
1064,ASP22GEN-2042-Saturday-00_025350_2..N08R,Wakefield-241 St
1065,ASP22GEN-2042-Saturday-00_025900_2..S08R,Flatbush Av-Brooklyn College
1066,ASP22GEN-2042-Saturday-00_027350_2..N08R,Wakefield-241 St
1067,ASP22GEN-2042-Saturday-00_027900_2..S08R,Flatbush Av-Brooklyn College
1068,ASP22GEN-2042-Saturday-00_029350_2..N08R,Wakefield-241 St
1069,ASP22GEN-2042-Saturday-00_029900_2..S01R,Flatbush Av-Brooklyn College
1070,ASP22GEN-2042-Saturday-00_031150_2..N08R,Wakefield-241 St
1071,ASP22GEN-2042-Saturday-00_031900_2..S01R,Flatbush Av-Brooklyn College
1072,ASP22GEN-2042-Saturday-00_033150_2..N08R,Wakefield-241 St
1073,ASP22GEN-2042-Saturday-00_033350_2..S01R,Flatbush Av-Brooklyn College
1074,ASP22GEN-2042-Saturday-00_034500_2..S01R,Flatbush Av-Brooklyn College
1075,ASP22GEN-2042-Saturday-00_034750_2..N01R,Wakefield-241 St
1076,ASP22GEN-2042-Saturday-00_035300_2..S01R,Flatbush Av-Brooklyn College
1077,ASP22GEN-2042-Saturday-00_036100_2..S01R,Flatbush Av-Brooklyn College
1078,ASP22GEN-2042-Saturday-00_036300_2..N01R,Wakefield-241 St
1079,ASP22GEN-2042-Saturday-00_036900_2..S01R,Flatbush Av-Brooklyn College
1080,ASP22GEN-2042-Saturday-00_037700_2..S01R,Flatbush Av-Brooklyn College
